,text,Label
0,"s, there may be delays between when you delete something and when copies are deleted from our active and backup systems.You can read more about Google’s data retention periods, including how long it takes us to delete your information.Compliance & cooperation with regulatorsWe regularly review this Privacy Policy and make sure that we process your information in ways that comply with it.Data transfersWe maintain servers around the world and your information may be processed on servers located outside of the country where you live. Data protection laws vary among countries, with ",Third Party Sharing/Collection
1,"we receive formal written complaints, we respond by contacting the person who made the complaint. We work with the appropriate regulatory authorities, including local data protection authorities, to resolve any complaints regarding the transfer of your data that we cannot resolve with you directly.About this policyWhen this policy appliesThis Privacy Policy applies to all of the services offered by Google LLC and its affiliates, including YouTube, Android, and services offered on third-party sites, such as advertising services. This Privacy Policy doesn’t apply to services that ",User Choice/Control
2,"reduce your rights under this Privacy Policy without your explicit consent. We always indicate the date the last changes were published and we offer access to archived versions for your review. If changes are significant, we’ll provide a more prominent notice (including, for certain services, email notification of Privacy Policy changes).Related privacy practicesSpecific Google servicesThe following privacy notices provide additional information about some Google ",Third Party Sharing/Collection
3,"Collection from Children’s Features on the Google AssistantIf you’re a member of an organization that uses Google Workspace or Google Cloud Platform, learn how these services collect and use your personal information in the Google Cloud Privacy Notice.Other useful resourcesThe following links highlight useful resources for you to learn more about our practices and privacy settings.Your Google Account is home to many of the settings you can use to manage your accountPrivacy Checkup guides you through key privacy settings for your Google AccountGoogle’s safety center helps you learn more about our built-in security, privacy controls, and tools to help set digital ground rules for your family onlinePrivacy & Terms provides more context regarding this Privacy Policy and our Terms of ServiceTechnologies includes ",Third Party Sharing/Collection
4,"Dialer Inc. Learn more about the companies providing business services in the EU.AlgorithmA process or set of rules followed by a computer in performing problem-solving operations.Application data cacheAn application data cache is a data repository on a device. It can, for example, enable a web application to run without an internet connection and improve the performance of the application by enabling faster loading of content.Browser web storageBrowser web storage enables websites to store data in a browser on a device. When used in ""local storage"" mode, it enables data to be stored across sessions. This makes data retrievable even after a browser has been closed and reopened. One technology ",Policy Change
5,"used to identify the location from which a device is connecting to the Internet.Non-personally identifiable informationThis is information that is recorded about users so that it no longer reflects or references an individually-identifiable user.Personal informationThis is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.Pixel tagA pixel tag is a type of technology placed ",User Choice/Control
6,"or when an email is opened. Pixel tags are often used in combination with cookies.Referrer URLA Referrer URL (Uniform Resource Locator) is information transmitted to a destination webpage by a web browser, typically when you click a link to that page. The Referrer URL contains the URL of the last webpage the browser visited.Sensitive personal informationThis is a particular category of personal information relating to topics such as confidential medical facts, racial or ethnic origins, political or religious beliefs, or sexuality.Server logsLike most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.A typical log entry for a search for “cars” looks like this:... ",Third Party Sharing/Collection
7,"browser to refuse all cookies or to indicate when a cookie is being sent. Learn more about how Google uses cookies.On other platforms besides browsers, unique identifiers are used to recognize a specific device or app on that device. ",User Choice/Control
8,"you may see more ads that relate to baking as you browse the web. We also may use your IP address to determine your approximate location, so that we can serve you ads for a nearby pizza delivery service if you search for “pizza.” Learn more about Google ads and why you may see particular ads.advertising and research services on their behalfFor example, advertisers may upload data from their loyalty-card programs so that they can better understand the performance of their ad campaigns. We only provide aggregated reports to advertisers that don’t reveal information about individual people.Android device with Google appsAndroid devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.combine the information we collectSome examples of how we combine the information we collect include:When you’re signed in to your Google Account and search on Google, you can see ",Third Party Sharing/Collection
9,"a Google Doc or an event in Google Calendar, Google makes it easy to do so by autocompleting their email address when you start to type in their name. This feature makes it easier to share things with people you know. Learn moreThe Google app can use data that you have stored in other Google products to show you personalized content, depending on your settings. For example, if you have searches stored in your Web & App Activity, the Google app can show you news articles and other information about your interests, like sports scores, based your activity. Learn moreIf you link your Google Account to your Google Home, you can manage your information and get things done through the Google Assistant. For example, you can add events to your Google Calendar or get your schedule for the day, ask for status updates on your upcoming flight, or send information like driving directions to your phone. Learn morecustomized search resultsFor example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get more relevant search results that are based on your previous searches and activity from other Google services. You can learn more here. You may also get customized search results even when you’re signed out. If you don’t want this ",Third Party Sharing/Collection
10,"in cookies on your device to help us authenticate you as the person who should have access to your Google AccountPhotos and videos you upload to Google Photos are used to help you create albums, animations, and other creations that you can share. Learn moreA flight confirmation email you receive may be used to create a “check-in” button that appears in your GmailWhen you purchase services or physical goods from us, you may provide us information like your shipping address or delivery instructions. We use this information for things like processing, fulfilling, and delivering your order, and to provide support in connection with the product or service you purchase.detect abuseWhen we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action. In certain circumstances, we may also report the violation to appropriate authorities.devicesFor example, we can use information from your devices to help you decide which device you’d like ",Third Party Sharing/Collection
11,"account.ensure and improveFor example, we analyze how people interact with advertising to improve the performance of ",Third Party Sharing/Collection
12,"or enforceable governmental requestLike other technology and communications companies, Google regularly receives requests from governments and courts around the world to disclose user data. Respect for the privacy and security of data you store with Google underpins our approach to complying with these legal requests. Our legal team reviews each and every request, regardless of type, and we frequently push back when a request appears to be overly broad or doesn’t ",Third Party Sharing/Collection
13,"help us discover that it’s taking people too long to complete a certain task or that they have trouble finishing steps at all. We can then redesign that feature and improve the product for everyone.may link informationGoogle Analytics relies on first-party cookies, which means the cookies are set by the Google Analytics customer. Using our systems, ",Third Party Sharing/Collection
14,"data to create more relevant ads, or to further analyze its traffic. Learn morepartner with GoogleThere are over  million non-Google websites and apps that partner with Google to show ads. Learn morepayment informationFor example, if you add a credit card or other payment method to your Google Account, you can use it to buy things across our services, like apps in the Play Store. We may also ask for other information, like a business tax ID, to help process your ",Third Party Sharing/Collection
15,"ads you see more relevant to you. Learn moreprotect against abuseFor example, information about security threats can ",Third Party Sharing/Collection
16,"one browser. Blocking this cookie would prevent Google Docs from working as expected. Learn moresafety and reliabilitySome examples of how we use your information to help keep our services safe and reliable include:Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access. Learn moresensitive categoriesWhen showing you personalized ads, we use topics that we think might be of interest ",Third Party Sharing/Collection
